word	nodeType	synsetCount	unit	count
\pos(,)}childreare	VERB	0	01x01_-_Operation_Strix	1
abandon	VERB	7	01x01_-_Operation_Strix	2
achieve	VERB	1	01x01_-_Operation_Strix	1
act	VERB	15	01x01_-_Operation_Strix	1
address	VERB	18	01x01_-_Operation_Strix	1
adopt	VERB	7	01x01_-_Operation_Strix	3
advocate	VERB	4	01x01_-_Operation_Strix	1
alter	VERB	5	01x01_-_Operation_Strix	1
appear	VERB	7	01x01_-_Operation_Strix	2
ask	VERB	7	01x01_-_Operation_Strix	2
attend	VERB	5	01x01_-_Operation_Strix	2
b*ttlefield	VERB	0	01x01_-_Operation_Strix	1
back	VERB	28	01x01_-_Operation_Strix	1
be	VERB	14	01x01_-_Operation_Strix	4
beat	VERB	34	01x01_-_Operation_Strix	1
become	VERB	4	01x01_-_Operation_Strix	3
begin	VERB	11	01x01_-_Operation_Strix	2
believe	VERB	5	01x01_-_Operation_Strix	2
bet	VERB	5	01x01_-_Operation_Strix	1
bind	VERB	11	01x01_-_Operation_Strix	1
blow	VERB	29	01x01_-_Operation_Strix	1
bother	VERB	8	01x01_-_Operation_Strix	1
break	VERB	75	01x01_-_Operation_Strix	1
buy	VERB	6	01x01_-_Operation_Strix	2
calm	VERB	8	01x01_-_Operation_Strix	1
capture	VERB	11	01x01_-_Operation_Strix	1
care	VERB	11	01x01_-_Operation_Strix	1
carry	VERB	41	01x01_-_Operation_Strix	1
cast	VERB	20	01x01_-_Operation_Strix	1
catch	VERB	39	01x01_-_Operation_Strix	1
challenge	VERB	9	01x01_-_Operation_Strix	1
change	VERB	20	01x01_-_Operation_Strix	1
cheat	VERB	9	01x01_-_Operation_Strix	1
come	VERB	22	01x01_-_Operation_Strix	11
compare	VERB	5	01x01_-_Operation_Strix	1
complete	VERB	10	01x01_-_Operation_Strix	1
compromise	VERB	5	01x01_-_Operation_Strix	1
cost	VERB	5	01x01_-_Operation_Strix	1
count	VERB	12	01x01_-_Operation_Strix	1
create	VERB	6	01x01_-_Operation_Strix	2
cry	VERB	12	01x01_-_Operation_Strix	8
decide	VERB	4	01x01_-_Operation_Strix	1
depart	VERB	6	01x01_-_Operation_Strix	1
detect	VERB	1	01x01_-_Operation_Strix	1
die	VERB	14	01x01_-_Operation_Strix	1
dig	VERB	13	01x01_-_Operation_Strix	1
disappear	VERB	4	01x01_-_Operation_Strix	1
disguise	VERB	4	01x01_-_Operation_Strix	1
do	VERB	16	01x01_-_Operation_Strix	24
drag	VERB	17	01x01_-_Operation_Strix	1
draw	VERB	45	01x01_-_Operation_Strix	4
earn	VERB	2	01x01_-_Operation_Strix	1
end	VERB	18	01x01_-_Operation_Strix	2
enroll	VERB	1	01x01_-_Operation_Strix	1
enter	VERB	9	01x01_-_Operation_Strix	1
excuse	VERB	9	01x01_-_Operation_Strix	1
exist	VERB	2	01x01_-_Operation_Strix	2
expect	VERB	6	01x01_-_Operation_Strix	1
expose	VERB	10	01x01_-_Operation_Strix	1
fail	VERB	11	01x01_-_Operation_Strix	1
fall	VERB	44	01x01_-_Operation_Strix	1
feel	VERB	17	01x01_-_Operation_Strix	2
figure	VERB	18	01x01_-_Operation_Strix	3
find	VERB	18	01x01_-_Operation_Strix	9
flee	VERB	1	01x01_-_Operation_Strix	1
force	VERB	19	01x01_-_Operation_Strix	2
forge	VERB	9	01x01_-_Operation_Strix	1
